Entry No.,Region,Time Slot,Delivery Day,Article Type,Recipient Type,Distance (km),Delivery Attempt,Delivery Success,Special Instructions
345,Bangalore East,10-12,Tuesday,Letter,Business,8.44,1,True,Signature required
346,Bangalore North,10-12,Wednesday,Document,Government,11.46,2,False,Leave at doorstep
347,Bangalore North,12-2,Monday,Parcel,Individual,14.13,1,False,Signature required
348,Bangalore East,3-5,Tuesday,Package,Individual,1.62,2,False,Signature required
349,Bangalore East,12-2,Thursday,Parcel,Individual,1.43,1,True,No special instructions
350,Bangalore East,3-5,Tuesday,Document,Individual,6.94,1,True,Signature required
351,Bangalore North,10-12,Wednesday,Document,Government,8.26,2,False,Call before delivery
352,Bangalore North,12-2,Thursday,Parcel,Individual,1.88,2,True,Leave at doorstep
353,Bangalore East,12-2,Wednesday,Parcel,Business,3.85,1,True,Leave at doorstep
354,Bangalore East,3-5,Monday,Parcel,Business,13.12,1,True,No special instructions
355,Bangalore East,12-2,Wednesday,Document,Government,2.56,2,True,No special instructions
356,Bangalore East,12-2,Saturday,Document,Individual,12.71,2,False,Signature required
357,Bangalore North,3-5,Tuesday,Letter,Individual,11.08,1,True,Call before delivery
358,Bangalore South,12-2,Saturday,Package,Business,13.38,2,True,No special instructions
359,Bangalore East,12-2,Tuesday,Document,Business,9.8,1,True,Call before delivery
360,Bangalore South,3-5,Wednesday,Parcel,Government,3.44,1,True,Signature required
361,Bangalore East,3-5,Saturday,Document,Government,14.96,2,True,Call before delivery
362,Bangalore Central,10-12,Tuesday,Document,Government,4.55,1,False,Leave at doorstep
363,Bangalore Central,10-12,Monday,Letter,Individual,11.51,2,True,No special instructions
364,Bangalore Central,12-2,Tuesday,Package,Business,10.97,2,True,Signature required
365,Bangalore East,10-12,Saturday,Package,Government,11.46,2,False,Call before delivery
366,Bangalore North,10-12,Monday,Package,Government,15.0,2,False,Call before delivery
367,Bangalore South,12-2,Monday,Document,Business,12.01,1,True,Leave at doorstep
368,Bangalore Central,12-2,Wednesday,Package,Business,14.39,1,False,Call before delivery
369,Bangalore South,12-2,Tuesday,Package,Business,14.76,1,False,Signature required
370,Bangalore East,3-5,Wednesday,Parcel,Individual,12.69,2,True,No special instructions
371,Bangalore Central,10-12,Wednesday,Letter,Individual,4.09,2,True,Signature required
372,Bangalore East,12-2,Tuesday,Document,Business,6.95,1,True,Call before delivery
373,Bangalore East,10-12,Monday,Package,Business,11.58,1,False,No special instructions
374,Bangalore East,10-12,Thursday,Package,Individual,2.83,1,False,Call before delivery
375,Bangalore Central,10-12,Thursday,Document,Business,1.51,1,False,Leave at doorstep
376,Bangalore Central,3-5,Monday,Package,Government,5.56,1,True,No special instructions
377,Bangalore South,3-5,Saturday,Package,Government,8.8,1,False,Call before delivery
378,Bangalore Central,10-12,Saturday,Letter,Government,10.2,1,False,Call before delivery
379,Bangalore Central,12-2,Thursday,Document,Business,10.37,2,False,Leave at doorstep
380,Bangalore North,10-12,Saturday,Parcel,Individual,2.77,1,True,Signature required
381,Bangalore Central,10-12,Wednesday,Document,Government,6.17,2,False,No special instructions
382,Bangalore East,3-5,Saturday,Parcel,Government,11.11,2,False,No special instructions
383,Bangalore South,12-2,Friday,Letter,Business,10.51,1,True,Leave at doorstep
384,Bangalore Central,12-2,Wednesday,Letter,Individual,13.51,2,True,Call before delivery
385,Bangalore North,3-5,Tuesday,Package,Individual,9.43,2,False,Call before delivery
386,Bangalore South,12-2,Wednesday,Document,Business,13.34,1,True,Leave at doorstep
387,Bangalore Central,12-2,Tuesday,Package,Government,7.44,2,False,Signature required
388,Bangalore Central,10-12,Monday,Package,Business,8.91,2,True,Leave at doorstep
389,Bangalore South,10-12,Monday,Document,Business,13.18,1,True,Signature required
390,Bangalore East,12-2,Saturday,Letter,Business,14.82,1,False,Leave at doorstep
391,Bangalore Central,12-2,Friday,Letter,Individual,10.23,1,False,Leave at doorstep
392,Bangalore South,10-12,Tuesday,Document,Individual,12.5,2,False,Leave at doorstep
393,Bangalore East,3-5,Tuesday,Parcel,Business,13.94,2,False,Signature required
394,Bangalore East,10-12,Thursday,Document,Government,9.13,1,True,Signature required
395,Bangalore South,3-5,Friday,Package,Business,8.64,2,True,Call before delivery
396,Bangalore North,3-5,Monday,Document,Government,9.53,2,True,Signature required
397,Bangalore East,12-2,Saturday,Parcel,Individual,8.91,2,True,Leave at doorstep
398,Bangalore South,3-5,Friday,Package,Individual,12.34,2,True,Call before delivery
399,Bangalore Central,12-2,Tuesday,Parcel,Business,10.09,2,True,No special instructions
400,Bangalore South,12-2,Wednesday,Package,Business,7.32,1,True,Signature required
401,Bangalore South,12-2,Monday,Document,Business,8.6,1,True,No special instructions
402,Bangalore Central,3-5,Thursday,Package,Individual,3.17,2,False,Call before delivery
403,Bangalore South,12-2,Thursday,Package,Government,1.89,1,False,Signature required
404,Bangalore North,12-2,Saturday,Parcel,Government,2.94,1,True,Signature required
405,Bangalore North,10-12,Friday,Letter,Government,6.5,2,False,Leave at doorstep
406,Bangalore North,12-2,Saturday,Document,Individual,5.13,1,True,Signature required
407,Bangalore East,3-5,Tuesday,Package,Government,14.32,2,False,Leave at doorstep
408,Bangalore South,12-2,Friday,Document,Business,8.67,2,False,Call before delivery
409,Bangalore South,10-12,Saturday,Letter,Business,4.41,2,True,Signature required
410,Bangalore East,3-5,Wednesday,Document,Individual,2.98,1,False,Signature required
411,Bangalore Central,3-5,Monday,Letter,Individual,4.08,1,True,Call before delivery
412,Bangalore Central,12-2,Tuesday,Document,Business,11.8,2,False,Signature required
413,Bangalore North,10-12,Saturday,Parcel,Government,3.27,2,False,Leave at doorstep
414,Bangalore Central,3-5,Monday,Document,Government,6.99,2,True,Signature required
415,Bangalore Central,10-12,Friday,Letter,Individual,12.89,1,True,Leave at doorstep
416,Bangalore South,3-5,Monday,Letter,Individual,1.0,2,False,No special instructions
417,Bangalore North,3-5,Monday,Parcel,Business,8.67,1,True,No special instructions
418,Bangalore East,12-2,Thursday,Package,Business,7.22,2,False,Signature required
419,Bangalore East,3-5,Wednesday,Package,Government,4.49,1,False,Signature required
420,Bangalore South,3-5,Wednesday,Package,Government,10.15,1,False,Signature required
421,Bangalore South,3-5,Saturday,Letter,Business,12.33,2,False,Leave at doorstep
422,Bangalore Central,12-2,Thursday,Document,Business,5.22,1,False,Call before delivery
423,Bangalore Central,10-12,Tuesday,Parcel,Government,14.49,2,False,No special instructions
424,Bangalore North,3-5,Thursday,Document,Business,10.64,1,False,Signature required
425,Bangalore East,3-5,Saturday,Document,Business,8.6,2,False,No special instructions
426,Bangalore East,3-5,Thursday,Letter,Individual,4.23,2,True,Call before delivery
427,Bangalore North,3-5,Wednesday,Parcel,Business,10.72,2,False,No special instructions
428,Bangalore North,3-5,Thursday,Letter,Business,8.82,1,False,No special instructions
429,Bangalore East,12-2,Friday,Package,Government,9.85,1,True,Signature required
430,Bangalore South,3-5,Wednesday,Parcel,Individual,3.8,2,True,Call before delivery
431,Bangalore Central,10-12,Tuesday,Document,Government,4.75,2,False,Call before delivery
432,Bangalore Central,3-5,Monday,Document,Individual,5.81,1,False,Signature required
433,Bangalore Central,3-5,Thursday,Package,Government,7.46,1,True,Signature required
434,Bangalore Central,10-12,Tuesday,Parcel,Government,5.14,2,False,Signature required
435,Bangalore Central,10-12,Monday,Package,Government,11.82,1,True,Signature required
436,Bangalore South,10-12,Tuesday,Package,Government,11.54,1,True,Signature required
437,Bangalore North,3-5,Saturday,Package,Government,3.88,1,True,No special instructions
438,Bangalore Central,3-5,Saturday,Package,Government,2.39,1,False,Call before delivery
439,Bangalore East,10-12,Monday,Package,Business,9.3,1,False,Signature required
440,Bangalore Central,12-2,Thursday,Parcel,Business,9.88,2,True,Leave at doorstep
441,Bangalore Central,10-12,Friday,Parcel,Individual,11.09,1,True,Call before delivery
442,Bangalore North,10-12,Wednesday,Document,Business,14.79,2,False,Signature required
443,Bangalore Central,12-2,Friday,Package,Government,1.76,1,True,Signature required
444,Bangalore North,10-12,Thursday,Document,Government,11.16,2,True,Signature required
445,Bangalore South,10-12,Friday,Package,Individual,1.3,2,True,No special instructions
446,Bangalore Central,12-2,Monday,Document,Individual,4.19,1,False,Leave at doorstep
447,Bangalore South,10-12,Tuesday,Document,Individual,7.78,1,False,Leave at doorstep
448,Bangalore East,12-2,Tuesday,Parcel,Business,7.29,2,False,No special instructions
449,Bangalore Central,10-12,Thursday,Document,Business,2.33,1,False,Leave at doorstep
450,Bangalore South,12-2,Monday,Letter,Government,3.1,2,False,No special instructions
451,Bangalore Central,12-2,Tuesday,Document,Government,7.23,2,True,Call before delivery
452,Bangalore North,12-2,Saturday,Parcel,Government,12.14,2,True,No special instructions
453,Bangalore North,10-12,Monday,Package,Government,2.28,2,True,Leave at doorstep
454,Bangalore South,10-12,Wednesday,Parcel,Business,8.95,1,True,Signature required
455,Bangalore North,10-12,Monday,Package,Business,2.06,2,False,No special instructions
456,Bangalore Central,3-5,Thursday,Parcel,Government,7.2,1,False,Signature required
457,Bangalore South,10-12,Saturday,Package,Government,10.98,2,False,No special instructions
458,Bangalore Central,10-12,Wednesday,Package,Individual,1.72,1,False,Signature required
459,Bangalore East,3-5,Tuesday,Package,Individual,4.5,1,False,Leave at doorstep
460,Bangalore North,10-12,Thursday,Parcel,Individual,10.42,2,True,Call before delivery
461,Bangalore South,12-2,Thursday,Parcel,Business,8.43,1,True,No special instructions
462,Bangalore North,3-5,Friday,Document,Business,6.33,2,True,Signature required
463,Bangalore East,3-5,Wednesday,Document,Business,9.14,2,False,Call before delivery
464,Bangalore South,12-2,Friday,Package,Business,14.5,1,False,No special instructions
465,Bangalore Central,12-2,Wednesday,Parcel,Government,3.64,1,True,Call before delivery
466,Bangalore Central,3-5,Tuesday,Letter,Business,5.21,1,False,Signature required
467,Bangalore South,12-2,Saturday,Package,Individual,4.78,1,True,Leave at doorstep
468,Bangalore North,10-12,Tuesday,Parcel,Individual,11.99,2,False,No special instructions
469,Bangalore East,12-2,Monday,Document,Government,11.82,2,False,Signature required
470,Bangalore North,12-2,Friday,Document,Business,2.22,2,True,No special instructions
471,Bangalore South,3-5,Thursday,Document,Individual,3.65,1,False,No special instructions
472,Bangalore Central,3-5,Saturday,Document,Business,4.93,1,False,Leave at doorstep
473,Bangalore East,12-2,Thursday,Letter,Government,1.28,2,False,Leave at doorstep
474,Bangalore East,3-5,Thursday,Document,Individual,14.2,2,True,Signature required
475,Bangalore North,12-2,Thursday,Document,Business,2.74,2,False,Signature required
476,Bangalore Central,10-12,Saturday,Document,Government,14.92,2,False,Leave at doorstep
477,Bangalore East,3-5,Wednesday,Document,Individual,11.7,1,False,Call before delivery
478,Bangalore Central,3-5,Monday,Parcel,Individual,3.67,2,True,No special instructions
479,Bangalore East,10-12,Tuesday,Parcel,Business,4.02,2,True,Signature required
480,Bangalore North,12-2,Friday,Document,Individual,10.59,1,True,Call before delivery
481,Bangalore North,3-5,Saturday,Package,Individual,5.97,2,False,Call before delivery
482,Bangalore South,10-12,Monday,Parcel,Individual,5.0,1,True,No special instructions
483,Bangalore North,3-5,Friday,Package,Individual,9.4,1,False,Signature required
484,Bangalore South,10-12,Saturday,Parcel,Individual,7.91,2,False,Leave at doorstep
485,Bangalore South,12-2,Monday,Package,Business,2.67,2,False,Leave at doorstep
486,Bangalore Central,12-2,Friday,Document,Business,1.48,2,True,No special instructions
487,Bangalore North,10-12,Wednesday,Parcel,Individual,11.57,1,False,Signature required
488,Bangalore South,3-5,Monday,Package,Government,7.84,1,False,Leave at doorstep
489,Bangalore South,10-12,Wednesday,Parcel,Government,5.72,2,False,Leave at doorstep
490,Bangalore Central,10-12,Monday,Document,Business,11.0,2,False,Signature required
491,Bangalore East,12-2,Monday,Parcel,Government,6.63,2,False,Call before delivery
492,Bangalore North,3-5,Saturday,Document,Individual,5.77,2,False,Leave at doorstep
493,Bangalore East,12-2,Thursday,Package,Business,5.3,2,True,No special instructions
494,Bangalore East,10-12,Friday,Package,Business,1.67,2,False,Signature required
495,Bangalore East,10-12,Tuesday,Parcel,Individual,5.13,2,False,No special instructions
496,Bangalore Central,3-5,Wednesday,Parcel,Government,5.12,2,False,Call before delivery
497,Bangalore Central,10-12,Wednesday,Package,Government,9.11,1,False,No special instructions
498,Bangalore Central,10-12,Wednesday,Letter,Individual,5.71,2,False,Leave at doorstep
499,Bangalore South,10-12,Monday,Package,Government,7.31,2,True,Call before delivery
500,Bangalore North,3-5,Tuesday,Parcel,Government,2.85,1,False,Signature required
501,Bangalore East,10-12,Thursday,Package,Individual,10.85,1,False,No special instructions
502,Bangalore East,10-12,Friday,Parcel,Individual,1.24,1,False,No special instructions
503,Bangalore North,10-12,Thursday,Package,Individual,14.66,2,True,Leave at doorstep
504,Bangalore South,12-2,Friday,Letter,Business,13.56,2,False,Signature required
505,Bangalore North,12-2,Monday,Letter,Individual,9.59,2,False,Leave at doorstep
506,Bangalore South,12-2,Monday,Letter,Business,5.74,2,False,Signature required
507,Bangalore East,10-12,Thursday,Letter,Business,2.71,1,True,Leave at doorstep
508,Bangalore South,3-5,Tuesday,Letter,Individual,8.15,2,True,Call before delivery
509,Bangalore Central,3-5,Saturday,Package,Business,1.72,2,True,Signature required
510,Bangalore East,12-2,Saturday,Parcel,Individual,10.96,2,False,No special instructions
511,Bangalore South,3-5,Saturday,Document,Individual,10.8,1,False,Signature required
512,Bangalore Central,3-5,Friday,Letter,Government,12.24,2,True,Call before delivery
513,Bangalore North,3-5,Saturday,Parcel,Individual,14.11,2,False,No special instructions
514,Bangalore East,10-12,Wednesday,Parcel,Business,4.85,1,True,Call before delivery
515,Bangalore South,3-5,Monday,Letter,Business,3.26,1,True,No special instructions
516,Bangalore East,10-12,Thursday,Document,Government,10.17,2,False,Leave at doorstep
517,Bangalore Central,3-5,Monday,Document,Government,9.89,2,True,Signature required
518,Bangalore South,3-5,Friday,Package,Individual,10.8,1,True,No special instructions
519,Bangalore North,10-12,Thursday,Package,Government,1.39,1,False,Signature required
520,Bangalore East,12-2,Monday,Document,Business,3.28,1,False,Leave at doorstep
521,Bangalore South,3-5,Saturday,Document,Business,13.85,2,True,Leave at doorstep
522,Bangalore Central,10-12,Friday,Package,Business,12.35,1,False,Leave at doorstep
523,Bangalore Central,3-5,Thursday,Document,Business,3.93,2,True,No special instructions
524,Bangalore Central,3-5,Friday,Letter,Government,3.7,1,False,No special instructions
525,Bangalore East,3-5,Tuesday,Package,Government,3.53,1,True,Signature required
526,Bangalore South,10-12,Thursday,Letter,Government,13.34,2,False,Leave at doorstep
527,Bangalore East,3-5,Saturday,Letter,Business,7.13,2,False,Signature required
528,Bangalore North,12-2,Thursday,Document,Business,5.4,2,False,Signature required
529,Bangalore Central,12-2,Monday,Letter,Business,1.67,1,True,Leave at doorstep
530,Bangalore Central,12-2,Saturday,Document,Business,5.6,1,False,Leave at doorstep
531,Bangalore East,12-2,Tuesday,Parcel,Individual,8.26,2,False,No special instructions
532,Bangalore North,10-12,Wednesday,Package,Business,2.67,2,False,Call before delivery
533,Bangalore East,10-12,Thursday,Letter,Business,11.56,2,True,No special instructions
534,Bangalore Central,12-2,Friday,Letter,Government,9.02,2,False,Call before delivery
535,Bangalore South,10-12,Tuesday,Letter,Business,8.59,1,False,Leave at doorstep
536,Bangalore Central,12-2,Friday,Parcel,Government,12.22,2,False,No special instructions
537,Bangalore Central,12-2,Wednesday,Parcel,Individual,8.1,2,False,Signature required
538,Bangalore Central,3-5,Tuesday,Package,Individual,10.59,1,True,No special instructions
539,Bangalore East,3-5,Tuesday,Document,Government,11.16,2,False,Signature required
540,Bangalore Central,3-5,Wednesday,Document,Individual,14.89,1,False,No special instructions
541,Bangalore Central,3-5,Saturday,Parcel,Business,7.35,2,False,Leave at doorstep
542,Bangalore Central,3-5,Thursday,Document,Business,10.82,2,False,Call before delivery
543,Bangalore North,12-2,Monday,Package,Individual,9.73,2,False,Leave at doorstep
544,Bangalore North,10-12,Friday,Parcel,Business,14.0,1,False,No special instructions
545,Bangalore North,3-5,Friday,Package,Individual,14.55,1,True,No special instructions
546,Bangalore Central,3-5,Wednesday,Document,Government,14.47,2,True,Leave at doorstep
547,Bangalore South,10-12,Monday,Package,Government,3.92,2,True,Call before delivery
548,Bangalore Central,3-5,Tuesday,Document,Business,14.03,1,True,Call before delivery
549,Bangalore South,12-2,Thursday,Package,Individual,5.23,1,True,Leave at doorstep
550,Bangalore North,12-2,Saturday,Parcel,Government,5.61,1,False,Leave at doorstep
551,Bangalore East,10-12,Monday,Document,Government,1.09,2,False,No special instructions
552,Bangalore North,3-5,Friday,Parcel,Business,11.36,2,True,Leave at doorstep
553,Bangalore South,12-2,Thursday,Document,Government,3.23,1,False,Signature required
554,Bangalore South,3-5,Saturday,Document,Individual,6.71,1,False,Leave at doorstep
555,Bangalore Central,12-2,Monday,Parcel,Government,14.34,1,True,Leave at doorstep
556,Bangalore East,3-5,Wednesday,Document,Business,4.76,2,False,No special instructions
557,Bangalore North,3-5,Monday,Letter,Government,3.86,2,True,Signature required
558,Bangalore North,12-2,Friday,Package,Individual,6.19,2,False,Leave at doorstep
559,Bangalore Central,10-12,Friday,Letter,Individual,2.95,2,True,Call before delivery
560,Bangalore East,3-5,Friday,Parcel,Business,2.94,1,False,No special instructions
561,Bangalore North,3-5,Monday,Document,Business,14.55,2,False,Leave at doorstep
562,Bangalore South,10-12,Tuesday,Package,Government,2.93,2,True,No special instructions
563,Bangalore East,3-5,Thursday,Parcel,Individual,11.35,1,False,No special instructions
564,Bangalore Central,3-5,Friday,Parcel,Individual,10.7,2,False,Leave at doorstep
565,Bangalore South,3-5,Wednesday,Document,Business,3.9,2,True,Leave at doorstep
566,Bangalore South,3-5,Thursday,Package,Business,7.37,2,True,Call before delivery
567,Bangalore North,12-2,Monday,Parcel,Individual,13.28,1,True,Call before delivery
568,Bangalore South,10-12,Wednesday,Document,Business,3.39,1,False,Signature required
569,Bangalore East,12-2,Monday,Letter,Government,13.99,1,True,No special instructions
570,Bangalore South,3-5,Thursday,Parcel,Government,10.06,1,False,Call before delivery
571,Bangalore East,10-12,Tuesday,Document,Business,11.62,2,False,Signature required
572,Bangalore South,3-5,Friday,Parcel,Business,1.15,2,False,Leave at doorstep
573,Bangalore North,12-2,Thursday,Letter,Business,3.69,1,True,Call before delivery
574,Bangalore South,3-5,Wednesday,Parcel,Individual,5.91,2,False,Leave at doorstep
575,Bangalore East,12-2,Thursday,Letter,Government,1.38,2,True,Call before delivery
576,Bangalore East,12-2,Saturday,Package,Government,12.49,1,True,No special instructions
577,Bangalore East,10-12,Tuesday,Parcel,Business,14.32,2,False,No special instructions
578,Bangalore East,12-2,Wednesday,Package,Government,4.02,1,False,No special instructions
579,Bangalore East,3-5,Friday,Document,Business,11.1,2,False,Signature required
580,Bangalore South,10-12,Tuesday,Letter,Individual,8.8,2,True,Signature required
581,Bangalore Central,10-12,Saturday,Parcel,Business,7.59,2,False,Call before delivery
582,Bangalore Central,3-5,Tuesday,Parcel,Business,6.09,2,True,Leave at doorstep
583,Bangalore East,12-2,Wednesday,Package,Business,7.84,1,False,Signature required
584,Bangalore Central,12-2,Tuesday,Document,Government,7.51,1,True,No special instructions
585,Bangalore East,12-2,Tuesday,Parcel,Government,4.64,2,False,Signature required
586,Bangalore East,10-12,Wednesday,Letter,Business,9.55,1,False,Signature required
587,Bangalore Central,12-2,Monday,Parcel,Business,1.39,2,False,Signature required
588,Bangalore East,10-12,Tuesday,Document,Individual,1.66,2,True,Call before delivery
589,Bangalore South,10-12,Wednesday,Parcel,Business,8.52,2,True,Signature required
590,Bangalore South,10-12,Tuesday,Letter,Government,2.92,1,False,No special instructions
591,Bangalore East,10-12,Friday,Parcel,Government,4.84,2,False,Call before delivery
592,Bangalore South,12-2,Tuesday,Letter,Government,10.2,2,False,Call before delivery
593,Bangalore South,12-2,Saturday,Parcel,Government,12.4,2,True,Signature required
594,Bangalore Central,3-5,Saturday,Letter,Business,2.3,2,True,Leave at doorstep
595,Bangalore Central,12-2,Tuesday,Document,Government,14.95,1,True,Call before delivery
596,Bangalore North,12-2,Wednesday,Document,Government,12.26,2,True,Signature required
597,Bangalore South,12-2,Saturday,Letter,Government,14.53,1,False,No special instructions
598,Bangalore East,10-12,Thursday,Letter,Individual,13.92,2,True,No special instructions
599,Bangalore North,3-5,Friday,Package,Business,1.85,1,True,Signature required
600,Bangalore North,3-5,Wednesday,Document,Individual,2.5,2,False,Leave at doorstep
601,Bangalore Central,12-2,Tuesday,Package,Business,13.56,2,True,Call before delivery
602,Bangalore East,3-5,Monday,Document,Individual,1.97,1,True,Leave at doorstep
603,Bangalore Central,10-12,Thursday,Document,Individual,14.4,1,False,Signature required
604,Bangalore North,10-12,Saturday,Document,Business,2.82,1,True,Call before delivery
605,Bangalore South,10-12,Thursday,Parcel,Government,1.66,2,True,Leave at doorstep
606,Bangalore South,12-2,Friday,Package,Government,7.16,2,False,Call before delivery
607,Bangalore North,3-5,Saturday,Letter,Business,10.11,1,False,Signature required
608,Bangalore Central,10-12,Tuesday,Document,Government,12.9,1,True,No special instructions
609,Bangalore North,3-5,Saturday,Parcel,Individual,3.33,2,True,Signature required
610,Bangalore East,3-5,Thursday,Letter,Government,11.54,2,False,Leave at doorstep
611,Bangalore South,3-5,Friday,Parcel,Individual,9.39,2,True,Signature required
612,Bangalore South,3-5,Wednesday,Letter,Government,8.2,1,True,Signature required
613,Bangalore North,12-2,Monday,Parcel,Business,7.47,2,True,Leave at doorstep
614,Bangalore East,12-2,Saturday,Package,Government,3.35,1,True,Call before delivery
615,Bangalore Central,12-2,Wednesday,Document,Business,11.58,2,False,No special instructions
616,Bangalore Central,10-12,Friday,Document,Individual,11.59,2,True,Signature required
617,Bangalore Central,3-5,Saturday,Document,Individual,10.88,1,True,Leave at doorstep
618,Bangalore South,3-5,Saturday,Package,Business,3.33,2,False,Call before delivery
619,Bangalore Central,12-2,Friday,Package,Business,10.11,1,True,Leave at doorstep
620,Bangalore East,3-5,Tuesday,Package,Government,13.36,1,False,No special instructions
621,Bangalore East,10-12,Wednesday,Document,Business,12.75,1,False,Leave at doorstep
622,Bangalore South,10-12,Tuesday,Package,Business,1.51,2,False,Signature required
623,Bangalore North,12-2,Friday,Package,Individual,12.61,2,True,No special instructions
624,Bangalore East,12-2,Friday,Package,Business,8.85,1,True,Signature required
625,Bangalore Central,10-12,Thursday,Parcel,Government,13.11,2,True,Leave at doorstep
626,Bangalore North,12-2,Thursday,Letter,Government,2.73,2,False,Call before delivery
627,Bangalore North,12-2,Tuesday,Parcel,Business,11.88,2,False,Call before delivery
628,Bangalore East,10-12,Tuesday,Parcel,Government,10.47,2,False,Signature required
629,Bangalore North,10-12,Tuesday,Package,Individual,13.0,2,False,Leave at doorstep
630,Bangalore North,12-2,Monday,Package,Individual,2.38,1,True,Call before delivery
631,Bangalore Central,3-5,Friday,Package,Business,5.46,1,False,Leave at doorstep
632,Bangalore Central,12-2,Friday,Parcel,Business,14.94,1,False,Call before delivery
633,Bangalore East,3-5,Wednesday,Document,Government,8.2,1,True,Signature required
634,Bangalore North,12-2,Thursday,Document,Business,2.95,1,False,Leave at doorstep
635,Bangalore South,10-12,Tuesday,Parcel,Individual,4.59,1,True,Leave at doorstep
636,Bangalore Central,12-2,Tuesday,Parcel,Individual,8.77,1,True,No special instructions
637,Bangalore East,3-5,Wednesday,Letter,Individual,1.35,1,False,Leave at doorstep
638,Bangalore Central,12-2,Thursday,Letter,Individual,2.47,1,False,Leave at doorstep
639,Bangalore South,3-5,Tuesday,Letter,Individual,4.74,1,True,Signature required
640,Bangalore Central,10-12,Tuesday,Document,Government,14.22,2,False,Leave at doorstep
641,Bangalore East,10-12,Monday,Package,Business,9.01,1,True,Call before delivery
642,Bangalore South,3-5,Thursday,Package,Individual,8.84,2,True,Call before delivery
643,Bangalore North,3-5,Monday,Letter,Individual,11.67,2,True,No special instructions
644,Bangalore Central,10-12,Monday,Letter,Business,8.93,1,True,Leave at doorstep
645,Bangalore Central,10-12,Monday,Parcel,Individual,8.99,2,False,Leave at doorstep
646,Bangalore Central,3-5,Saturday,Parcel,Government,10.27,2,True,Leave at doorstep
647,Bangalore South,12-2,Wednesday,Document,Government,4.97,1,False,Leave at doorstep
648,Bangalore Central,10-12,Friday,Package,Business,12.74,1,True,Signature required
649,Bangalore South,12-2,Saturday,Parcel,Government,5.76,1,False,Call before delivery
650,Bangalore North,10-12,Thursday,Letter,Government,7.44,2,True,Signature required
651,Bangalore South,12-2,Monday,Parcel,Government,12.63,1,True,Signature required
652,Bangalore Central,10-12,Wednesday,Document,Individual,11.52,2,False,Call before delivery
653,Bangalore Central,3-5,Monday,Letter,Government,12.96,2,False,Signature required
654,Bangalore East,12-2,Saturday,Document,Individual,14.2,1,True,No special instructions
655,Bangalore East,10-12,Tuesday,Package,Government,12.19,2,True,Signature required
656,Bangalore East,3-5,Friday,Parcel,Individual,7.0,1,True,Call before delivery
657,Bangalore North,10-12,Wednesday,Document,Government,5.68,2,True,Signature required
658,Bangalore North,10-12,Saturday,Package,Individual,2.89,2,False,No special instructions
659,Bangalore East,3-5,Wednesday,Parcel,Business,1.6,1,False,Leave at doorstep
660,Bangalore Central,10-12,Friday,Parcel,Business,7.37,1,True,Signature required
661,Bangalore Central,3-5,Saturday,Parcel,Government,10.34,1,True,Call before delivery
662,Bangalore Central,10-12,Wednesday,Parcel,Business,5.16,1,False,Signature required
663,Bangalore Central,10-12,Wednesday,Letter,Individual,5.41,1,True,Signature required
664,Bangalore North,10-12,Monday,Document,Individual,14.72,1,False,Signature required
665,Bangalore North,12-2,Monday,Document,Individual,12.23,1,True,Leave at doorstep
666,Bangalore North,3-5,Monday,Package,Individual,1.79,2,True,No special instructions
667,Bangalore Central,3-5,Thursday,Letter,Government,2.78,1,True,Leave at doorstep
668,Bangalore South,3-5,Thursday,Document,Government,5.64,1,False,Signature required
669,Bangalore East,10-12,Monday,Parcel,Business,2.26,1,True,Call before delivery
670,Bangalore East,3-5,Monday,Document,Business,1.28,2,True,No special instructions
671,Bangalore Central,10-12,Monday,Parcel,Government,8.53,2,False,Signature required
672,Bangalore East,10-12,Friday,Letter,Individual,3.35,2,True,No special instructions
673,Bangalore Central,12-2,Thursday,Package,Government,4.29,1,False,Leave at doorstep
674,Bangalore North,10-12,Saturday,Document,Business,14.98,2,False,Leave at doorstep
675,Bangalore East,10-12,Wednesday,Document,Individual,9.63,2,False,No special instructions
676,Bangalore North,12-2,Wednesday,Document,Individual,13.63,2,False,Signature required
677,Bangalore East,3-5,Thursday,Document,Individual,3.06,1,True,Leave at doorstep
678,Bangalore North,3-5,Friday,Letter,Business,3.0,1,True,No special instructions
679,Bangalore South,3-5,Thursday,Package,Individual,2.53,1,True,Call before delivery
680,Bangalore South,10-12,Tuesday,Package,Individual,11.15,2,False,Leave at doorstep
681,Bangalore South,10-12,Tuesday,Parcel,Individual,9.87,1,False,Leave at doorstep
682,Bangalore North,12-2,Friday,Letter,Government,5.67,2,False,Leave at doorstep
683,Bangalore North,3-5,Wednesday,Package,Individual,13.36,2,False,Signature required
684,Bangalore North,10-12,Monday,Package,Government,10.67,2,True,Call before delivery
685,Bangalore Central,3-5,Saturday,Parcel,Government,5.7,1,True,Signature required
686,Bangalore North,12-2,Saturday,Parcel,Individual,4.54,1,False,Call before delivery
687,Bangalore Central,3-5,Saturday,Parcel,Business,6.98,1,True,Call before delivery
688,Bangalore South,10-12,Saturday,Letter,Business,1.64,1,False,Leave at doorstep
689,Bangalore Central,3-5,Wednesday,Document,Individual,8.59,2,True,Leave at doorstep
690,Bangalore Central,3-5,Monday,Letter,Business,9.59,2,True,Signature required
691,Bangalore North,10-12,Friday,Parcel,Individual,10.09,2,False,Leave at doorstep
